#,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
161,Jaylen Nowell,MIN,62,15.7,8.5,3.2,6.7,47.5,1.0,2.6,39.4,1.2,1.5,78.3,0.4,1.6,2.0,2.1,0.4,0.2,0.6,8.8
162,Mitchell Robinson,NYK,72,25.7,8.5,3.6,4.8,76.1,0.0,0.0,0.0,1.2,2.5,48.6,4.1,4.5,8.6,0.5,0.8,1.8,0.8,17.0
163,Deni Avdija,WAS,82,24.2,8.4,3.0,7.1,43.2,1.0,3.2,31.7,1.3,1.7,75.7,0.6,4.5,5.2,2.0,0.7,0.5,1.1,11.4
164,Nicolas Batum,LAC,59,24.8,8.3,3.0,6.6,46.3,1.8,4.6,40.0,0.4,0.6,65.8,0.5,3.8,4.3,1.7,1.0,0.7,0.7,11.6
165,Landry Shamet,PHX,69,20.8,8.3,2.8,7.0,39.4,1.8,4.8,36.8,1.0,1.2,84.0,0.2,1.6,1.8,1.6,0.4,0.1,0.6,7.2
166,Isaiah Stewart,DET,71,25.6,8.3,3.5,6.9,51.0,0.2,0.6,32.6,1.0,1.5,71.8,3.2,5.5,8.7,1.2,0.3,1.1,1.2,14.6
167,Isaiah Hartenstein,LAC,68,17.9,8.3,3.4,5.4,62.6,0.2,0.4,46.7,1.3,1.9,68.9,1.7,3.2,4.9,2.4,0.7,1.1,1.2,13.5
168,Naz Reid,MIN,77,15.8,8.3,3.0,6.2,48.9,0.7,2.2,34.3,1.5,1.9,76.5,1.3,2.6,3.9,0.9,0.5,0.9,1.1,9.9
169,Corey Kispert,WAS,77,23.4,8.2,3.0,6.7,45.5,1.5,4.2,35.0,0.7,0.8,87.1,0.7,2.0,2.7,1.1,0.5,0.3,0.6,8.4
170,Hassan Whiteside,UTA,65,17.9,8.2,3.3,5.1,65.2,0.0,0.0,0.0,1.6,2.6,62.3,2.6,5.0,7.6,0.4,0.3,1.6,0.8,14.6
171,Otto Porter Jr.,GSW,63,22.2,8.2,3.1,6.6,46.4,1.3,3.4,37.0,0.8,1.0,80.3,1.4,4.4,5.7,1.5,1.1,0.5,0.6,12.6
172,Ziaire Williams,MEM,62,21.7,8.1,3.1,6.8,45.0,1.2,3.9,31.4,0.7,0.9,78.2,0.4,1.7,2.1,1.0,0.6,0.2,0.7,7.4
173,Cory Joseph,DET,65,24.6,8.0,2.7,6.2,44.5,1.0,2.4,41.4,1.5,1.7,88.5,0.4,2.2,2.7,3.6,0.6,0.3,1.3,10.3
174,Andre Drummond,BKN,73,19.7,7.9,3.4,5.9,57.0,0.0,0.0,0.0,1.2,2.2,52.4,3.1,6.2,9.3,1.8,1.1,0.9,1.6,15.9
175,Josh Christopher,HOU,74,18.0,7.9,3.0,6.8,44.8,0.8,2.6,29.6,1.1,1.5,73.5,0.7,1.8,2.5,2.0,0.9,0.2,1.5,7.9
176,Jordan Nwora,MIL,62,19.1,7.9,3.0,7.5,40.3,1.3,3.7,34.8,0.6,0.7,83.7,0.6,3.0,3.6,1.0,0.4,0.3,0.9,7.6
177,Grant Williams,BOS,77,24.4,7.8,2.7,5.6,47.5,1.4,3.4,41.1,1.1,1.2,90.5,0.8,2.7,3.6,1.0,0.5,0.7,0.8,9.8
178,Drew Eubanks,POR,71,17.5,7.7,3.1,5.2,59.6,0.1,0.3,21.7,1.4,1.8,76.2,1.8,3.5,5.4,1.2,0.4,0.6,1.1,11.6
179,Cody Martin,CHA,71,26.3,7.7,2.9,6.0,48.2,0.9,2.2,38.4,1.1,1.5,70.1,1.2,2.9,4.0,2.5,1.2,0.5,0.9,11.5
180,R.J. Hampton,ORL,64,21.9,7.6,2.7,7.1,38.3,1.0,2.9,35.0,1.2,1.8,64.1,0.4,2.7,3.0,2.5,0.7,0.2,1.4,7.6
181,Aleksej Pokusevski,OKC,61,20.2,7.6,3.0,7.5,40.8,0.9,3.2,28.9,0.6,0.8,70.0,1.2,4.0,5.2,2.1,0.6,0.6,1.5,10.0
182,Furkan Korkmaz,PHI,67,21.1,7.6,2.7,7.0,38.7,1.1,4.0,28.9,1.0,1.3,81.0,0.3,2.3,2.6,1.9,0.5,0.1,0.7,7.5
183,P.J. Tucker,MIA,71,27.9,7.6,2.9,6.0,48.4,1.1,2.7,41.5,0.6,0.9,73.8,1.4,4.0,5.5,2.1,0.8,0.2,0.9,11.9
184,Kyle Anderson,MEM,69,21.5,7.6,3.0,6.8,44.6,0.5,1.6,33.0,1.0,1.5,63.8,1.0,4.3,5.3,2.7,1.1,0.7,1.0,12.0
185,Raul Neto,WAS,70,19.6,7.5,2.9,6.3,46.3,0.5,1.7,29.2,1.2,1.5,76.9,0.2,1.7,1.9,3.1,0.8,0.0,1.1,8.5
186,Damion Lee,GSW,63,20.0,7.4,2.7,6.1,44.1,1.0,3.0,33.7,1.0,1.2,88.0,0.4,2.8,3.2,1.0,0.6,0.1,0.6,8.2
187,Royce O'Neale,UTA,77,31.2,7.4,2.6,5.8,45.7,1.5,4.0,38.9,0.6,0.7,80.4,0.8,3.9,4.8,2.5,1.1,0.4,1.0,11.9
188,Austin Reaves,LAL,61,23.2,7.3,2.4,5.2,45.9,0.9,2.7,31.7,1.6,1.9,83.9,0.7,2.4,3.2,1.8,0.5,0.3,0.7,9.3
189,Taurean Prince,MIN,69,17.1,7.3,2.6,5.7,45.4,1.2,3.3,37.6,0.9,1.2,75.6,0.4,2.1,2.5,1.0,0.7,0.3,0.8,7.7
